	RNA_NAME	R-Square (Single)	R-Square (Multiple)
77	ENSG00000235912.1	0.013238032	0
78	ENSG00000279802.1	0.01313492	0
79	ENSG00000105467.7	0.013060514	0
80	ENSG00000228115.1	0.012955996	0
81	ENSG00000178795.8	0.012944483	0
82	ENSG00000185897.6	0.012865141	0
83	ENSG00000171942.4	0.01280872	0
84	ENSG00000179994.9	0.012525728	0
85	ENSG00000274927.1	0.01244795	0
86	ENSG00000273269.1	0.012303763	0
87	ENSG00000216154.2	0.012035355	0
88	ENSG00000232658.1	0.011965717	0
89	ENSG00000275014.1	0.011941979	0
90	ENSG00000267113.1	0.011865469	0
91	ENSG00000268777.1	0.011769858	0
92	ENSG00000265625.1	0.01156032	0
93	ENSG00000228351.1	0.011535596	0
94	ENSG00000240975.1	0.011514763	0
95	ENSG00000275362.1	0.011421387	0
96	ENSG00000213927.3	0.011209055	0
97	ENSG00000235440.1	0.011151276	0
98	ENSG00000259788.1	0.011132545	0
99	ENSG00000252857.1	0.01105528	0
100	ENSG00000254943.1	0.010975913	0
101	ENSG00000258848.1	0.010816444	0
102	ENSG00000267766.1	0.010803743	0
103	ENSG00000271185.1	0.01076625	0
104	ENSG00000267938.1	0.010723626	0
105	ENSG00000234125.5	0.010676434	0
106	ENSG00000232662.2	0.010547986	0
107	ENSG00000253920.1	0.010504338	0
108	ENSG00000273957.1	0.010489614	0
109	ENSG00000242595.1	0.010293245	0
110	ENSG00000231887.5	0.010256875	0
111	ENSG00000222706.1	0.010222341	0
112	ENSG00000278255.1	0.009864182	0
113	ENSG00000250111.3	0.00983612	0
114	ENSG00000202245.1	0.009781772	0
115	ENSG00000212354.1	0.009768593	0
116	ENSG00000227689.1	0.009761883	0
117	ENSG00000231213.5	0.009757957	0
118	ENSG00000207587.1	0.009657738	0
119	ENSG00000255490.1	0.009648813	0
120	ENSG00000213559.4	0.009475871	0
121	ENSG00000273233.1	0.009394906	0
122	ENSG00000091010.4	0.009387366	0
123	ENSG00000255653.1	0.009374431	0
124	ENSG00000254926.1	0.009290589	0
125	ENSG00000221334.1	0.009110503	0
126	ENSG00000171791.11	0.008972163	0
127	ENSG00000271627.1	0.008965633	0
128	ENSG00000242435.1	0.008915008	0
129	ENSG00000249572.1	0.008895511	0
130	ENSG00000263438.4	0.008889814	0
131	ENSG00000261732.1	0.008849926	0
132	ENSG00000223086.1	0.008839613	0
133	ENSG00000230967.2	0.008833014	0
134	ENSG00000214042.1	0.008779372	0
135	ENSG00000226516.6	0.008672029	0
136	ENSG00000262118.1	0.00860048	0
137	ENSG00000271339.1	0.008435577	0
138	ENSG00000230120.1	0.008407831	0
139	ENSG00000205084.9	0.008341716	0
140	ENSG00000237129.1	0.008313862	0
141	ENSG00000278056.1	0.008305185	0
142	ENSG00000265458.1	0.008255729	0
143	ENSG00000222449.1	0.008034282	0
144	ENSG00000234311.1	0.007981734	0
145	ENSG00000265976.1	0.007936801	0
146	ENSG00000266489.1	0.007887068	0
147	ENSG00000230558.2	0.007885968	0
148	ENSG00000259615.1	0.007631012	0
149	ENSG00000274027.1	0.007295028	0
150	ENSG00000178802.16	0.007216407	0
151	ENSG00000253055.1	0.007069464	0
152	ENSG00000239288.1	0.007022464	0
153	ENSG00000233750.3	0.006989244	0
154	ENSG00000233433.1	0.006932297	0
155	ENSG00000239494.2	0.006885773	0
156	ENSG00000239227.1	0.006876878	0
157	ENSG00000233079.1	0.006869402	0
158	ENSG00000222994.1	0.006856879	0
159	ENSG00000139287.11	0.006803286	0
160	ENSG00000251253.1	0.006609683	0
161	ENSG00000216347.1	0.006587551	0
162	ENSG00000264021.1	0.006558109	0
163	ENSG00000261041.1	0.006517415	0
164	ENSG00000248765.1	0.006488568	0
165	ENSG00000178031.14	0.006404721	0
166	ENSG00000266432.1	0.006367398	0
167	ENSG00000223027.1	0.006327201	0
168	ENSG00000228296.1	0.006155937	0
169	ENSG00000232845.1	0.006038507	0
170	ENSG00000207206.1	0.006019167	0
171	ENSG00000243296.1	0.006007085	0
172	ENSG00000199921.1	0.0058763	0
173	ENSG00000222316.1	0.005865562	0
174	ENSG00000222581.1	0.005810129	0
175	ENSG00000249386.1	0.005732953	0
176	ENSG00000278911.1	0.005370747	0
177	ENSG00000253513.1	0.005331147	0
178	ENSG00000202472.1	0.004805911	0
179	ENSG00000259269.1	0.004795825	0
180	ENSG00000250218.1	0.004549634	0
181	ENSG00000253898.1	0.004396923	0
182	ENSG00000237860.1	0.004306813	0
183	ENSG00000199395.1	0.00413536	0
184	ENSG00000255741.1	0.00409705	0
185	ENSG00000232022.5	0.004069692	0
186	ENSG00000266640.1	0.003915182	0
187	ENSG00000275948.1	0.003805129	0
188	ENSG00000273826.1	0.002957694	0
189	ENSG00000166049.10	0.000194907	0
